source_id,max_auc,median_auc,n_auc,broad,targeted,cu,kind,max_panel_size,explicit_big_panel,breadth
10.1001/jamaneurol.2026.1405,0.96,0.96,1,False,False,True,abstract,,False,unclassified
10.1002/alz.70796,0.87,0.87,2,False,False,False,abstract,,False,unclassified
10.1002/alz.71009,0.878,0.878,1,False,True,True,abstract,,False,targeted
10.1002/alz.71179,0.93,0.93,1,True,False,False,abstract,8.0,False,broad
10.1002/dad2.70215,0.92,0.92,1,False,False,False,abstract,,False,unclassified
10.1002/hbm.70406,0.77,0.645,2,False,False,True,abstract,,False,unclassified
10.1016/j.cmpb.2026.109567,0.8,0.8,1,False,False,False,abstract,,False,unclassified
10.1016/j.scib.2026.08.018,0.899,0.899,1,False,False,True,abstract,9.0,False,unclassified
10.1016/j.tjpad.2026.100615,0.965,0.8939999999999999,2,True,False,True,abstract,,False,broad
10.1016/j.xcrm.2025.102031,0.92,0.92,1,False,False,False,abstract,16.0,False,unclassified
10.1038/s41380-026-03708-y,0.9,0.86,3,True,False,False,abstract,3.0,False,broad
10.1038/s41598-025-17394-3,0.886,0.8274999999999999,4,False,False,False,abstract,,False,unclassified
10.1038/s41598-025-34241-7,0.9,0.9,1,False,True,False,abstract,,False,targeted
10.1111/ene.70618,0.891,0.891,1,False,False,True,abstract,,False,unclassified
10.1186/s13024-025-00909-x,0.81,0.81,1,True,False,True,abstract,81.0,True,broad
10.1186/s13024-026-00941-5,0.94,0.893,8,True,True,True,abstract,,False,broad
10.1186/s13195-024-01595-5,0.82,0.82,1,False,False,True,abstract,,False,unclassified
10.1186/s13195-026-02008-5,0.961,0.9295,4,False,True,False,abstract,,False,targeted
10.1186/s13195-026-02012-9,0.67,0.67,1,False,True,True,abstract,,False,targeted
10.1186/s13195-026-02080-x,0.87,0.86,2,False,False,True,abstract,,False,unclassified
10.1515/cclm-2026-0395,0.923,0.923,1,False,True,False,abstract,,False,targeted
10.1515/jtim-2026-0038,0.97,0.901,4,False,False,False,abstract,,False,unclassified
10.21203/rs.3.rs-6440485/v1,0.95,0.88,2,True,False,True,abstract,8.0,False,broad
10.2174/0115672050271523231111192725,0.908,0.8705,2,False,True,True,abstract,,False,targeted
10.3346/jkms.2026.41.e184,0.909,0.85,6,False,True,False,abstract,,False,targeted
10.3389/fnagi.2025.1559459,0.9,0.885,2,False,False,False,abstract,,False,unclassified
10.3390/ijms27125533,0.79,0.79,1,False,False,False,abstract,31.0,True,broad
10.64898/2026.04.14.26350885,0.9,0.9,1,False,True,False,abstract,8.0,False,targeted
10.64898/2026.06.01.26354584,0.89,0.796,5,False,False,False,abstract,,False,unclassified
2023_blood_biomarkers_discriminate_cerebral_amyloid_status_and_cognitive.pdf,0.935,0.849,6,False,True,True,fulltext,,False,targeted
2023_independent_study_demonstrates_amyloid_probability_score_accurately_indicat.pdf,0.9,0.855,2,True,True,True,fulltext,,False,broad
2024_development_of_thresholds_and_a_visualization_tool_for.pdf,0.89,0.7615000000000001,38,True,True,True,fulltext,,False,broad
2025_accurate_and_robust_prediction_of_amyloid_brain_deposition.pdf,0.951,0.8885000000000001,12,False,True,True,fulltext,,False,targeted
2025_association_of_plasma_alzheimers_disease_biomarkers_with_cognitive.pdf,0.76,0.76,1,True,True,True,fulltext,,False,broad
2025_benchmarking_of_a_multibiomarker_lowvolume_panel_for_alzheimers.pdf,0.96,0.85,13,True,True,True,fulltext,,False,broad
2025_clinical_performance_of_scalable_automated_ptau_217_multianalyte.pdf,0.92,0.92,3,True,True,True,fulltext,,False,broad
2025_highsensitivity_plasma_proteomics_reveals_diseasespecific_signatures_and_pr.pdf,0.96,0.93,3,True,True,True,fulltext,81.0,True,broad
2025_plasma_biomarkers_for_early_detection_of_alzheimers_disease.pdf,0.968,0.96,3,True,True,True,fulltext,,False,broad
2026_agedependent_diagnostic_and_correlational_architecture_of_multiplex_plasma.pdf,0.943,0.933,7,False,True,True,fulltext,,False,targeted
2026_blood_biomarkers_to_improve_dementia_diagnostic_accuracy_a.pdf,0.974,0.9345000000000001,32,False,False,True,fulltext,,False,unclassified
2026_continuum_of_core_1_biomarkers_in_preclinical_alzheimers.pdf,0.9,0.9,1,False,True,True,fulltext,1.0,False,targeted
